"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1779.63,,
"AUS","Australia","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1746.37,,
"AUS","Australia","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1741.82,,
"AUS","Australia","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1735.1,,
"AUS","Australia","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1733.74,,
"AUS","Australia","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1732.26,,
"AUS","Australia","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1721.66,,
"AUS","Australia","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1722.64,,
"AUS","Australia","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1720.88,,
"AUS","Australia","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1692.33,,
"AUS","Australia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1699.94,,
"AUS","Australia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1699.92,,
"AUS","Australia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1692.55,,
"AUS","Australia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1689.38,,
"AUS","Australia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1683.27,,
"AUS","Australia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1683.55,,
"AUS","Australia","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1673.4,,
"AUS","Australia","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1674.9,,
"AUS","Australia","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1665.04,,
"AUT","Austria","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1542,,
"AUT","Austria","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1535,,
"AUT","Austria","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1530,,
"AUT","Austria","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1524,,
"AUT","Austria","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1530,,
"AUT","Austria","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1518,,
"AUT","Austria","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1505,,
"AUT","Austria","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1503,,
"AUT","Austria","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1506,,
"AUT","Austria","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1469,,
"AUT","Austria","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1469,,
"AUT","Austria","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1469,,
"AUT","Austria","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1454,,
"AUT","Austria","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1444,,
"AUT","Austria","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1439,,
"AUT","Austria","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1420,,
"AUT","Austria","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1432,,
"AUT","Austria","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1432,,
"AUT","Austria","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1435,,
"AUT","Austria","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1681,,
"AUT","Austria","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1669,,
"AUT","Austria","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1666,,
"AUT","Austria","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1658,,
"AUT","Austria","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1660,,
"AUT","Austria","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1638,,
"AUT","Austria","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1622,,
"AUT","Austria","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1612,,
"AUT","Austria","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1605,,
"AUT","Austria","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1564,,
"AUT","Austria","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1557,,
"AUT","Austria","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1562,,
"AUT","Austria","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1540,,
"AUT","Austria","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1525,,
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1516,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1500,,
"AUT","Austria","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1512,,
"AUT","Austria","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1511,,
"AUT","Austria","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1511,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1459,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1455,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1447,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1449,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1421,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1420,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1430,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1426,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1423,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1425,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1433,,
"BEL","Belgium","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1595,,
"BEL","Belgium","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1588,,
"BEL","Belgium","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1583,,
"BEL","Belgium","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1573,,
"BEL","Belgium","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1565,,
"BEL","Belgium","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1572,,
"BEL","Belgium","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1577,,
